"0.0, 0.0, 0.205, 0.691, 0.853, 0.18, 0.975, 0.036, 0.735, 0.761, 0.234, 0.703, 0.904, 0.615, 0.833, 0.641, 0.486, 0.136, 1.0, 1.0, 4.47693042156"
"0.0, 0.0, 0.149, 0.385, 0.341, 0.682, 0.737, 0.05, 0.085, 0.658, 0.061, 0.167, 0.228, 0.184, 0.251, 0.472, 0.378, 0.322, 1.0, 1.0, 6.98121787322"
"0.0, 0.0, 0.914, 0.809, 0.606, 0.435, 0.605, 0.875, 0.892, 0.931, 0.066, 0.68, 0.104, 0.453, 0.815, 0.403, 0.915, 0.537, 1.0, 1.0, 2.10585732952"
"0.0, 0.0, 0.955, 0.858, 0.451, 0.604, 0.043, 0.108, 0.438, 0.164, 0.616, 0.205, 0.129, 0.817, 0.797, 0.561, 0.519, 0.752, 1.0, 1.0, 2.48022530054"
"0.0, 0.0, 0.334, 0.592, 0.691, 0.033, 0.045, 0.06, 0.52, 0.264, 0.482, 0.399, 0.626, 0.067, 0.936, 0.621, 0.832, 0.648, 1.0, 1.0, 1.55802886335"
"0.0, 0.0, 0.241, 0.681, 0.219, 0.382, 0.03, 0.764, 0.289, 0.815, 0.381, 0.452, 0.809, 0.41, 0.756, 0.085, 0.144, 0.495, 1.0, 1.0, 3.52660614686"
"0.0, 0.0, 0.171, 0.341, 0.128, 0.233, 0.701, 0.891, 0.502, 0.904, 0.348, 0.197, 0.131, 0.633, 0.472, 0.38, 0.218, 0.984, 1.0, 1.0, 1.64329586808"
"0.0, 0.0, 0.362, 0.471, 0.585, 0.125, 0.351, 0.146, 0.731, 0.56, 0.312, 0.865, 0.642, 0.583, 0.241, 0.12, 0.497, 0.407, 1.0, 1.0, 4.34798167857"
"0.0, 0.0, 0.264, 0.141, 0.886, 0.604, 0.502, 0.609, 0.936, 0.339, 0.189, 0.305, 0.044, 0.822, 0.642, 0.645, 0.353, 0.01, 1.0, 1.0, 1.81185719381"
"0.0, 0.0, 0.243, 0.815, 0.057, 0.295, 0.489, 0.028, 0.153, 0.034, 0.599, 0.558, 0.91, 0.826, 0.259, 0.909, 0.673, 0.238, 1.0, 1.0, 1.49090456624"
